Ordinal,Date,ThresholdPercent,Mandate,Eligible,PM1,PM2,
16,2003-01-28,0.015,25138,4720075,Ariel Sharon,,
17,2006-03-28,0.02,24619,5014622,Ehud Olmert,,
18,2009-02-10,0.02,27246,5278985,Benjamin Netanyahu,,
19,2013-01-22,0.02,29366,5656705,Benjamin Netanyahu,,
20,2015-03-17,0.0325,32822,5881696,Benjamin Netanyahu,,
21,2019-04-09,0.0325,32860,6339729,,,
22,2019-09-17,0.0325,35917,6394030,,,
23,2020-03-02,0.0325,37943,6453255,Benjamin Netanyahu,,
24,2021-03-23,0.0325,36210,6578084,Naftali Bennet,Yair Lapid,
25,2022-11-01,0.0325,36227,6788804,Benjamin Netanyahu,,
